Year,Purpose,Category,Adopted or Rejected,'Yes' Votes,'No' Votes,Total Votes in Election,Total Votes,,Ballot Language,url
1914,To authorize a revolving fund for improving state school and swamp lands.,Revenue & Spending,R,"162,951","47,906","356,906t",356906,45.7%,1913 Laws of MInnesota Chapter 586,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-586.pdf
1914,To repeal the requirement as to publication of treasurer’s report annually in a St. Paul newspaper and also in the biennial session laws.,Structure of Government,R,"131,213","58,827","356,906t",356906,36.8%,1913 Laws of MInnesota Chapter 587,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-587.pdf
1914,To authorize investment of school and university funds in first mortgages on improved farms.,Revenue & Spending,R,"159,531","38,145","356,906t",356906,44.7%,1913 Laws of MInnesota Chapter 588,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-588.pdf
1914,To extend terms of probate judges to four years.,Judicial Branch,R,"128,601","64,214","356,906t",356906,36.0%,1913 Laws of MInnesota Chapter 589,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-589.pdf
1914,To limit size of state senate and number of senators from any county.,Structure of Government,R,"98,144","84,436","356,906t",356906,27.5%,1913 Laws of MInnesota Chapter 590,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-590.pdf
1914,"To authorize the recall by the voters of “every public official in Minnesota, elective or appointive.”",Elections,R,"139,801","44,961","356,906t",356906,39.2%,1913 Laws of MInnesota Chapter 593,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-593.pdf
1914,To authorize special dog taxes and use of proceeds to compensate owners of animals injured by dogs.,Revenue & Spending,R,"136,671","59,786","356,906t",356906,38.3%,1913 Laws of MInnesota Chapter 594,https://www.revisor.mn.gov/data/revisor/law/1913/0/1913-594.pdf
1914,To authorize state bounties for reforestation,Environment & Land Use,R,"108,352","63,782","356,906t",356906,30.4%,1913 Laws of MInnesota Chapter 591,https://www.revisor.mn.gov/laws/?id=591&year=1913
1914,To authorize certain public lands to be set aside as state forests,Environment & Land Use,A,"178,954","44,033","356,906t",356906,50.1%,1913 Laws of MInnesota Chapter 592,https://www.revisor.mn.gov/laws/?id=592&year=1913
1912,To authorize a one mill state tax for roads and bridges and to permit state to assume entire cost of any project.,Revenue & Spending,A,"195,724","51,135","349,678t",349678,56.0%,1911 Laws of MInnesota Chapter 390,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-390.pdf
1912,To authorize state hail insurance.,Revenue & Spending,R,"145,173","60,439","349,678t",349678,41.5%,1911 Laws of MInnesota Chapter 391,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-391.pdf
1912,To authorize investment of school and university funds in first mortgages on improved farms.,Revenue & Spending,R,"168,440","39,483","349,678t",349678,48.2%,1911 Laws of MInnesota Chapter 392,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-392.pdf
1912,To amend the municipal home rule clause to authorize commission government and for other purposes.,Structure of Government,R,"157,086","41,971","349,678t",349678,44.9%,1911 Laws of MInnesota Chapter 393,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-393.pdf
1912,To authorize legislature to establish educational qualifications for county superintendents of schools.,Structure of Government,R,"167,983","36,584","349,678t",349678,48.0%,1911 Laws of MInnesota Chapter 394,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-394.pdf
1912,To limit size of state senate and number of senators from any county.,Structure of Government,R,"122,457","77,187","349,678t",349678,35.0%,1911 Laws of MInnesota Chapter 395,https://www.revisor.mn.gov/data/revisor/law/1911/0/1911-395.pdf
1910,To permit state to assume half the cost of any road or bridge project.,Revenue & Spending,A,"159,746","44,387","310,165t",310165,51.5%,1909 Laws of MInnesota Chapter 506,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-506.pdf
1910,To repeal the requirement as to publication of treasurer’s report annually in a St. Paul newspaper and also in the biennial session laws.,Structure of Government,R,"123,787","51,650","310,165t",310165,39.9%,1909 Laws of MInnesota Chapter 507,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-507.pdf
1910,To authorize state hail insurance.,Revenue & Spending,R,"108,926","63,205","310,165t",310165,35.1%,1909 Laws of MInnesota Chapter 508,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-508.pdf
1910,To authorize reapportionment of legislative representation at any time.,Structure of Government,R,"95,181","61,520","310,165t",310165,30.7%,1909 Laws of MInnesota Chapter 509,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-509.pdf
1910,To authorize and require an annual state tax for reforestation work.,Environment & Land Use,R,"100,168","63,962","310,165t",310165,32.3%,1909 Laws of MInnesota Chapter 510,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-510.pdf
1910,To authorize tax exemptions to encourage reforestation.,Environment & Land Use,R,"87,943","73,697","310,165t",310165,28.4%,1909 Laws of MInnesota Chapter 511,https://www.revisor.mn.gov/data/revisor/law/1909/0/1909-511.pdf
1908,To limit the exemption of church property from taxation to that “used for religious purposes.”,Revenue & Spending,R,"134,141","65,776","355,263t",355263,37.8%,1907 Laws of MInnesota Chapter 477,https://www.revisor.mn.gov/data/revisor/law/1907/0/1907-477.pdf
1908,To permit unlimited state taxation for road and bridge purposes.,Revenue & Spending,R,"154,226","56,557","355,263t",355263,43.4%,1907 Laws of MInnesota Chapter 478,https://www.revisor.mn.gov/data/revisor/law/1907/0/1907-478.pdf
1908,To authorize state hail insurance.,Revenue & Spending,R,"137,710","61,084","355,263t",355263,38.8%,1907 Laws of MInnesota Chapter 479,https://www.revisor.mn.gov/data/revisor/law/1907/0/1907-479.pdf
1908,To authorize legislature to establish educational qualifications for county superintendents of schools.,Structure of Government,R,"169,785","42,114","355,263t",355263,47.8%,1907 Laws of MInnesota Chapter 480,https://www.revisor.mn.gov/data/revisor/law/1907/0/1907-480.pdf
1906,To simplify the taxing provisions by a “wide open” section.,Revenue & Spending,A,"156,051","46,982","284,366t",284366,54.9%,1905 Laws of MInnesota Chapter 168,https://www.revisor.mn.gov/data/revisor/law/1905/0/1905-168.pdf
1906,"To increase state road and bridge tax, and to",Revenue & Spending,A,"141,870","49,232","284,366t",284366,49.9%,1905 Laws of MInnesota Chapter 212,https://www.revisor.mn.gov/data/revisor/law/1905/0/1905-212.pdf
1906,To permit farmers to sell their produce without licenses.,Structure of Government,A,"190,897","34,094","284,366t",284366,67.1%,1905 Laws of MInnesota Chapter 283,https://www.revisor.mn.gov/data/revisor/law/1905/0/1905-283.pdf
1904,To increase debt limit of municipalities borrowing school and university funds.,Revenue & Spending,A,"190,718","39,334","322,692t",322692,59.1%,1903 Laws of MInnesota Chapter 25,https://www.revisor.mn.gov/data/revisor/law/1903/0/1903-025.pdf
1904,To abolish the requirement of a grand jury.,Judicial Branch,A,"164,055","52,152","322,692t",322692,50.8%,1903 Laws of MInnesota Chapter 269,https://www.revisor.mn.gov/data/revisor/law/1903/0/1903-269.pdf
1902,"To increase state road and bridge tax, and to eliminate restrictions on expenditure of fund.",Revenue & Spending,R,"114,969","23,948","276,071t",276071,41.6%,1902 1st Sp. Sess Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1902/1/1902-EX-001.pdf
1902,To increase debt limit of municipalities borrowing permanent school funds.,Revenue & Spending,R,"116,766","20,777","276,071t",276071,42.3%,1902 1st Sp. Sess Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1902/1/1902-EX-001.pdf
1902,To simplify the taxing provisions of the constitution.,Revenue & Spending,R,"124,584","21,251","276,071t",276071,45.1%,1902 1st Sp. Sess Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1902/1/1902-EX-001.pdf
1900,To increase debt limit of municipalities borrowing permanent school funds.,Revenue & Spending,R,"108,681","30,160","314,181t",314181,34.6%,1899 Laws of MInnesota Chapter 92,https://www.revisor.mn.gov/data/revisor/law/1899/0/1899-092.pdf
,,,,,,,,,,
1898,To permit women to vote for and serve on library boards.,Elections,A,"71,704","43,660","252,562g",252562,62.2%,1897 Laws of MInnesota Chapter 175,https://www.revisor.mn.gov/data/revisor/law/1897/0/1897-175.pdf
1898,To make it more difficult to amend constitution.,Structure of Government,A,"69,760","32,881","252,562g",252562,68.0%,1897 Laws of MInnesota Chapter 185,https://www.revisor.mn.gov/data/revisor/law/1897/0/1897-185.pdf
1898,To amend the municipal home rule section.,Structure of Government,A,"68,754","32,068","252,562g",252562,68.2%,1897 Laws of MInnesota Chapter 280,https://www.revisor.mn.gov/data/revisor/law/1897/0/1897-280.pdf
1898,To provide state road and bridge fund.,Highways & Transit,A,"70,043","38,017","252,562g",252562,64.8%,1897 Laws of MInnesota Chapter 333,https://www.revisor.mn.gov/data/revisor/law/1897/0/1897-333.pdf
1896,To take pardoning power from governor and to confer it on a pardon board.,Judicial Branch,A,"130,354","45,097","337,229g",337229,74.3%,1895 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-002.pdf
1896,To prohibit aliens from voting.,Elections,A,"97,980","52,454","337,229g",337229,65.1%,1895 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-003.pdf
1896,To authorize home rule for cities.,Structure of Government,A,"107,086","58,312","337,229g",337229,64.7%,1895 Laws of MInnesota Chapter 4,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-004.pdf
1896,To require compensation for property destroyed or damaged for public use.,Revenue & Spending,A,"101,188","56,839","337,229g",337229,64.0%,1895 Laws of MInnesota Chapter 5,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-005.pdf
1896,"To permit cities, towns and villages, as well as counties and school districts, to borrow school and university funds.",Revenue & Spending,A,"127,151","36,134","337,229g",337229,77.9%,1895 Laws of MInnesota Chapter 6,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-006.pdf
1896,To provide flexible system for taxing large corporations.,Revenue & Spending,A,"163,694","42,922","337,229g",337229,79.2%,1895 Laws of MInnesota Chapter 7,https://www.revisor.mn.gov/data/revisor/law/1895/0/1895-007.pdf
1894,To authorize inheritance taxes.,Revenue & Spending,A,"108,332","41,242","296,249g",296249,72.4%,1893 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1893/0/1893-001.pdf
1892,To extend and strengthen the prohibition against special legislation.,Structure of Government,A,"77,614","19,583","255,921g",255921,79.9%,1891 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1891/0/1891-001.pdf
1892,To authorize various gross earnings taxes and a tonnage tax on iron ore.,Revenue & Spending,R,"53,372","82,910","255,921g",255921,39.2%,1891 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1891/0/1891-002.pdf
1890,To provide for verdicts by 5/6 of jury in civil cases.,Judicial Branch,A,"66,929","41,341","240,892g",240892,61.8%,1889 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1889/0/1889-001.pdf
1888,To prohibit the monopolization of the markets of food products.,Economy,A,"194,932","13,064","261,632g",261632,93.7%,1887 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1887/0/1887-001.pdf
1888,To guarantee the payment of linens of workmen and material-men out of exempted property.,Economy,A,"153,908","48,649","261,632g",261632,76.0%,1887 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1887/0/1887-002.pdf
1888,To extend biennial sessions of legislature to 90 days each.,Structure of Government,A,"150,003","52,946","261,632g",261632,73.9%,1887 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1887/0/1887-003.pdf
1886,To provide for loans of state school funds to counties and school districts.,Revenue & Spending,A,"131,533","17,914","220,558g",220558,88.0%,1885 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1885/0/1885-001.pdf
1883,"To make auditor’s term four years, to conform to system of biennial elections.",Structure of Government,A,"74,375","24,359","130,713g",130713,75.3%,1883 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1883/0/1883-001.pdf
1883,To establish the official year and to provide for a system of biennial elections.,Structure of Government,A,"75,782","24,082","130,713g",130713,75.9%,1883 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1883/0/1883-002.pdf
1883,To make term of clerk of supreme court four instead of three years.,Judicial Branch,A,"73,565","24,016","130,713g",130713,75.4%,1883 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1883/0/1883-003.pdf
1883,To make terms of justices of supreme court six instead of seven years.,Judicial Branch,A,"73,565","24,016","130,713g",130713,75.4%,1883 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1883/0/1883-003.pdf
1883,To make terms of district judges six instead of seven years.,Judicial Branch,A,"73,565","24,016","130,713g",130713,75.4%,1883 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1883/0/1883-003.pdf
1881,To authorize levy of water-mains assessments on a frontage basis.,Revenue & Spending,A,"35,019","18,320","102,193g",102193,65.7%,1881 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1881/0/1881-001.pdf
1881,To remove time limitations from sessions of legislature.,Structure of Government,R,Not Available,Not Available,"102,193g",102193,,1881 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1881/0/1881-002.pdf
1881,To regulate compensation of legislators.,Revenue & Spending,R,Not Available,Not Available,"102,193g",102193,,1881 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1881/0/1881-002.pdf
1881,To prohibit special legislation on certain subjects.,Structure of Government,A,"56,491","8,369","102,193g",102193,87.1%,1881 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1881/0/1881-003.pdf
1881,To provide for sale of swamp lands and appropriation of proceeds of swamp land funds.,Revenue & Spending,A,"51,903","8,440","102,193g",102193,86.0%,1881 Laws of MInnesota Chapter 4,https://www.revisor.mn.gov/data/revisor/law/1881/0/1881-004.pdf
1879,"To restrict issuance of county, town, and municipal bonds to aid railroads.",Revenue & Spending,A,"54,810","1,700","99,048g",99048,97.0%,1879 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1879/0/1879-001.pdf
1877,To establish biennial sessions of legislature.,Structure of Government,A,"37,995","20,833","98,614g",98614,64.6%,1877 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-001.pdf
1877,"To extend terms of representatives and senators to two and four years, respectively.",Structure of Government,A,"33,072","25,099","98,614g",98614,56.9%,1877 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-001.pdf
1877,To provide for state canvassing board.,Structure of Government,A,"36,072","21,814","98,614g",98614,62.3%,1877 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-001.pdf
1877,To authorize women to vote in local option elections.,Elections,R,"26,468","32,963","98,614g",98614,44.5%,1877 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-002.pdf
1877,To establish single liability for stockholders in all corporations except banks.,Judicial Branch,R,"24,415","26,020","98,614g",98614,48.4%,1877 Laws of MInnesota Chapter 4,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-004.pdf
1877,To authorize sale of internal improvement lands and use of proceeds to pay railroad bonds.,Revenue & Spending,R,"17,324","59,176","98,614g",98614,22.6%,1877 Laws of MInnesota Chapter 5,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-005.pdf
1877,To prohibit use of state school funds to support sectarian schools.,Revenue & Spending,A,"36,780","16,667","98,614g",98614,68.8%,1877 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1877/0/1877-003.pdf
1876,To authorize governor to veto items of appropriation bills.,Structure of Government,A,"47,302","4,426","123,931p",123931,91.4%,1876 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1876/0/1876-001.pdf
1876,To establish single liability for stockholders in all corporations except banks.,Judicial Branch,R,"21,721","22,830","123,931p",123931,48.8%,1876 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1876/0/1876-002.pdf
1876,To authorize district judges to sit on supreme bench when supreme court justices disqualified.,Judicial Branch,A,"41,069","6,063","123,931p",123931,87.1%,1876 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1876/0/1876-003.pdf
1875,To provide for an indefinite number of judges in each judicial district.,Judicial Branch,A,"22,560","18,534","84,017g",84017,54.9%,1875 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1875/0/1875-001.pdf
1875,To authorize the legislature to grant women suffrage in school affairs.,Elections,A,"24,340","19,468","84,017g",84017,55.6%,1875 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1875/0/1875-002.pdf
1875,To prescribe manner in which school funds could be invested.,Revenue & Spending,A,"28,755","10,517","84,017g",84017,73.2%,1875 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1875/0/1875-003.pdf
1875,To establish single liability for stockholders in ordinary business corporations.,Judicial Branch,R,"16,349","25,858","84,017g",84017,38.7%,1875 Laws of MInnesota Chapter 4,https://www.revisor.mn.gov/data/revisor/law/1875/0/1875-004.pdf
1873,To provide for biennial sessions of the legislature.,Structure of Government,R,"14,007","31,729","77,057g",77057,30.6%,1873 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1873/0/1873-003.pdf
1873,"To extend terms of representatives and senators to two and four years, respectively.",Structure of Government,R,"11,675","24,331","77,057g",77057,32.4%,1873 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1873/0/1873-003.pdf
1873,To provide for state canvassing board.,Structure of Government,R,"12,116","25,694","77,057g",77057,32.0%,1873 Laws of MInnesota Chapter 3,https://www.revisor.mn.gov/data/revisor/law/1873/0/1873-003.pdf
1873,To provide more effectively for the safekeeping of public funds.,Revenue & Spending,A,"27,143","5,438","77,057g",77057,83.3%,1873 Laws of MInnesota Chapter 4,https://www.revisor.mn.gov/data/revisor/law/1873/0/1873-004.pdf
1872,To authorize state loan for asylum buildings.,Revenue & Spending,A,"29,158","26,881","90,919p",90919,52.0%,1872 Laws of MInnesota Chapter 11,https://www.revisor.mn.gov/data/revisor/law/1872/0/1872-011.pdf
1872,To exempt stockholders in manufacturing or mechanical businesses from double liability.,Judicial Branch,A,"23,091","21,794","90,919p",90919,51.4%,1872 Laws of MInnesota Chapter 12,https://www.revisor.mn.gov/data/revisor/law/1872/0/1872-012.pdf
1872,"To restrict issuance of county, town, and municipal bonds to aid railroads.",Revenue & Spending,A,"27,916","7,796","90,919p",90919,78.2%,1872 Laws of MInnesota Chapter 13,https://www.revisor.mn.gov/data/revisor/law/1872/0/1872-013.pdf
1872,To provide for sale of internal improvement lands.,Revenue & Spending,A,"55,438","4,331","90,919p",90919,92.8%,1872 Laws of MInnesota Chapter 14,https://www.revisor.mn.gov/data/revisor/law/1872/0/1872-014.pdf
1871,To require popular approval of changes in railroad gross earnings tax law.,Revenue & Spending,A,"41,814","9,216","78,172g",78172,81.9%,1871 Laws of MInnesota Chapter 18,https://www.revisor.mn.gov/data/revisor/law/1871/0/1871-018.pdf
1871,To authorize state loan for asylum buildings.,Revenue & Spending,R,"6,724","40,797","78,172g",78172,14.1%,1871 Laws of MInnesota Chapter 19,https://www.revisor.mn.gov/data/revisor/law/1871/0/1871-019.pdf
1870,To exempt holders of railroad stock from double liability.,Judicial Branch,R,"7,446","11,210","18,656l",18656,39.9%,1870 Laws of MInnesota Chapter 21,https://www.revisor.mn.gov/data/revisor/law/1870/0/1870-021.pdf
1869,To abolish Manomin county.,Structure of Government,A,"13,392","1,671","54,525g",54525,88.9%,1869 Laws of MInnesota Chapter 50,https://www.revisor.mn.gov/data/revisor/law/1869/0/1869-050.pdf
1869,To authorize special assessments for local improvements.,Structure of Government,A,"26,636","2,560","54,525g",54525,91.2%,1869 Laws of MInnesota Chapter 51,https://www.revisor.mn.gov/data/revisor/law/1869/0/1869-051.pdf
1868,To authorize Negroes to vote.,Elections,A,"39,493","30,121","71,818p",71818,56.7%,1868 Laws of MInnesota Chapter 106,https://www.revisor.mn.gov/data/revisor/law/1868/0/1868-106.pdf
1868,To abolish requirement of grand jury.,Judicial Branch,R,"14,763","30,544","71,818p",71818,32.6%,1868 Laws of MInnesota Chapter 107,https://www.revisor.mn.gov/data/revisor/law/1868/0/1868-107.pdf
1868,"To authorize sale of 500,000 acres of internal improvement lands and investment of proceeds in state or national securities.",Revenue & Spending,R,"19,398","28,729","71,818p",71818,40.3%,1868 Laws of MInnesota Chapter 108,https://www.revisor.mn.gov/data/revisor/law/1868/0/1868-108.pdf
1867,To authorize Negroes to vote.,Elections,R,"27,479","28,794","63,376g",63376,48.8%,1867 Laws of MInnesota Chapter 25,https://www.revisor.mn.gov/data/revisor/law/1867/0/1867-025.pdf
1867,To subject shares in state and national banks to state taxation.,Revenue & Spending,R,"8,742","34,351","64,376g",64376,20.3%,1867 Laws of MInnesota Chapter 118,https://www.revisor.mn.gov/data/revisor/law/1867/0/1867-118.pdf
1865,To authorize Negroes to vote.,Elections,R,"12,135","14,651","31,160g",31160,45.3%,1865 Laws of MInnesota Chapter 57,https://www.revisor.mn.gov/data/revisor/law/1865/0/1865-057.pdf
1860,To limit legislative sessions to 60 days.,Structure of Government,A,"19,785",442,"34,737p",34737,97.8%,1860 Laws of MInnesota Chapter 22,https://www.revisor.mn.gov/data/revisor/law/1860/0/1860-022.pdf
1860,To require popular approval of tax to pay railroad bonds: to repeal the $5 million amendment.,Revenue & Spending,A,"18,648",743,"34,737p",34737,96.2%,1860 Concurrent Resolution 1,https://www.revisor.mn.gov/data/revisor/law/1860/0/1860-C01.pdf
1858,To authorize $5 million railroad loan.,Revenue & Spending,A,"25,023","6,733","31,756s",31756,78.8%,1858 Laws of MInnesota Chapter 1,https://www.revisor.mn.gov/data/revisor/law/1858/0/1858-001.pdf
1858,"To establish state government May 1, 1858.",Structure of Government,A,"25,023","6,733","31,756s",31756,78.8%,1858 Laws of MInnesota Chapter 2,https://www.revisor.mn.gov/data/revisor/law/1858/0/1858-002.pdf
,,,,,,,,,,
g - number of votes cast for governor ,,,,,,,,,,
l - legislative election ,,,,,,,,,,
p - number of votes cast for president ,,,,,,,,,,
s - special election ,,,,,,,,,,
t - total number of persons voting at election ,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
